id,name,brand,  price   ,size,abv,type,category,style,country,state,taste,product_info,image_url
24,Beefeater,Beefeater, $19.99 ,750ml,44.0%,Gin,,London Dry, England ,,"Crisp, Herbal, Juniper, Citrus, Balanced","United Kingdom- Beefeater London Dry has a remarkably clean flavor, with a bold juniper character that is balanced with strong citrus notes, making it the perfect gin to enjoy with the tonic of your choice.","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/hcb/h30/15050017046558.png"
25,Ford's Gin,Ford's, $19.99 ,750ml,45.0%,Gin,,London Dry, England ,,"Crisp, Spice, Juniper, Balanced",England- The gin for cocktails! Multi award-winning London Dry Gin designed for mixing by professional bartenders. Made by 8th generation gin distiller with the input of over 150 bartenders. A modern twist on a classic style of gin.,"https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h88/h16/10678725083166.png"
26,Still Austin Gin,Still Austin, $25.99 ,750ml,45.0%,Gin,,American Gin, United States ,Texas,"Crisp, Juniper, Coriander, Citrus, Balanced","Texas- A beautifully balanced gin made in small batches with botanicals like juniper, cinnamon, citrus peels, elderflower, and allspice. Floral notes on the nose and a crisp finish with waves of citrus, juniper, and coriander on the palate. Great addition to a Spritz cocktail.","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/hcf/h7c/16052759855134.png"
27,Hendrick's Gin,Hendrick's, $31.99 ,750ml,44.0%,Gin,,, Scotland ,,"Crisp, Floral, Cucumber, Rose, Balanced","Scotland- The original Hendrick's Gin, oddly infused with Rose and Cucumber. Not surprisingly, awarded Platinum at LA Spirit Awards and Silver at SF World Sprits Awards in 2020.","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/he5/h57/8806112329758.png"
28,The Botanist Gin,The Botanist, $35.99 ,750ml,46.0%,Gin,,, Scotland ,Islay & Islands,,"Scotland- The Botanist is a gin of layered complexity. 22 hand-foraged local botanicals delicately augment nine berries, barks, seeds and peels during an achingly slow distillation. This unique Islay dry gin is a rare expression of the heart and soul of our remote Scottish island.","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h52/h32/12291700490270.png"
29,Monkey 47 Schwarzwald Dry Gin,Monkey 47, $57.99 ,750ml,47.0%,Gin,,, Germany ,,,"Germany- Distilled from 47 predominantly unusual but regional botanicals such as lingonberries and blended with natural spring water. Juniper is prominent on the nose, and intense herbal notes rise up. Monkey 47 takes a sweet and fruity turn at the end. Rated 99 pts by Distiler.com","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h1b/h43/16323022749726.png"
30,Espolon Reposado Tequila,Espolon, $24.99 ,750ml,40.0%,Tequila,,Reposado, Mexico ,Jalisco,,"Mexico - With tequila aging in mind, carefully designed and constructed white-oak barrels have been used to house the spirit for 6 months, giving it a balance of agave and mild wood flavors.","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h64/h62/11941488066590.png"
31,Tapatio Tequila Blanco,Tapatio, $33.99 ,750ml,40.0%,Tequila,,Blanco, Mexico ,Jalisco,,"Mexico - Aged 6 months in stainless steel. Modest agave, and black pepper, on the nose. The body is initially hot. Nice balance on agave, lemon, sweetness, and Chile powder. Touches of black pepper hit the back of the throat for the finish.","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h50/hda/17193004007454.png"
32,Patron Silver,Patron, $40.99 ,750ml,40.0%,Tequila,,Blanco, Mexico ,Jalisco,"Citrus, Floral, Smooth","Mexico - 100% Blue Agave. Crystal clear, pure ultra premium. Light, fresh tequila is a favorite of connoisseurs worldwide. Smooth, soft, light tequila. The perfect ingredient in special margaritas or mixed cocktails, neat or on the rocks.","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h4f/h5f/17238588817438.png"
33,Fortaleza Anejo Tequila,Foraleza, $89.99 ,750ml,40.0%,Tequila,,Anejo, Mexico ,Jalisco,,Mexico- Made of 100% stone milled agave that is entirely produced on the estate and aged in wood oak barrels to create a uniquely smooth and flavorful tequila. Enjoy this impeccable tequila in a favorite cocktail.,"https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h73/h0a/10678707224606.png"
