id,name,brand,price ,size,abv,type,style,market,country,state,city,taste,body,product_info,image_url
24,Altstadt Kolsch,Altstadt,$9.49 ,12oz - Pack(6) cans,4.80%,Ale,"Blonde Ale, Kolsch",Craft,United States,Texas,Frederickburg,,,"Texas- Kolsch- 4.8% ABV. Our Cologne Germany style Kolsch is a crisp well-balanced blend of German malts with a kiss of hops at the end. The result is a clean and refreshing, light golden colored beverage.",https://static.specsonline.com/wp-content/uploads/2020/10/085361300745.jpg
25,Altstadt Lager,Altstadt,$9.49 ,12oz - Pack(6) cans,4.80%,Lager,Light Lager,Craft,United States,Texas,Frederickburg,,,"Texas- Lager- 4.8% ABV. A light, friendly, malt centric beverage that features just enough German noble hops to balance its maltiness. A beer brewed with the finest German malts and hops from Munich's neighboring Hallertau region and a bottom fermenting yeast from Weihenstephan.",https://static.specsonline.com/wp-content/uploads/2020/10/085361300743.jpg
26,Karbach Love Street,Karbach,$9.99 ,12oz - Pack(6) btls,4.90%,Ale,"Blonde Ale, American Blonde Ale",Craft,United States,Texas,Houston,"Crisp, Grainy, Floral",Light-bodied,"Texas- Kolsch- 4.9% ABV. Love Street is a state of mind. Brewed in the Kolsch-style and hopped delicately with floral German hops, this beer boast a clean malt profile that refreshes to the core without sacrificing character.","https://www.totalwine.com/dynamic/x490,6pk/media/sys_master/twmmedia/h31/h51/14202676117534.png"
27,Karbach Love Street,Karbach,$17.99 ,12oz - Pack(12) cans,4.90%,Ale,"Blonde Ale, American Blonde Ale",Craft,United States,Texas,Houston,"Crisp, Grainy, Floral",Light-bodied,"Texas- Kolsch- 4.9% ABV. Love Street is a state of mind. Brewed in the Kolsch-style and hopped delicately with floral German hops, this beer boast a clean malt profile that refreshes to the core without sacrificing character.","https://www.totalwine.com/dynamic/x490,12pk/media/sys_master/twmmedia/h89/hf6/10336099565598.png"
28,Karbach Hopadillo IPA,Karbach,$9.99 ,12oz - Pack(6) cans,6.60%,Ale,"IPA (India Pale Ale), American IPA",Craft,United States,Texas,Houston,"Hoppy, Citrusy, Piney, Spicy",Medium-bodied,"Texas- American India Pale Ale (IPA)- 6.6% ABV. 65 IBUs. Pours a deep amber orange with a thick, creamy white head and big aromas of grapefruit, pine and some sweet breadiness. Citrus flavor followed by pine, caramel malts and a bit of bread. Finishes with a hoppy citrus kick. Enjoy!","https://www.totalwine.com/dynamic/x490,6pk/media/sys_master/twmmedia/h83/hd3/15949507559454.png"
29,Dos Equis Lager Especial,Dos Equis,$9.49 ,12oz - Pack(6) btls,4.20%,Lager,Mexican-Style Lager,Import,Mexico,Nuevo Leon,Monterrey,"Crisp, Clean, Balanced",Light-bodied,"Mexico- Mexican Pale Lager- 4.2% ABV. Dos Equis Lager Especial is a golden pilsner-style beer made from pure spring water and the choicest hops. With a balanced composition and a smooth, clean finish, its the party guest who is always invited and never overstays his welcome.","https://www.totalwine.com/dynamic/x490,6pk/media/sys_master/twmmedia/h51/he7/16766379687966.png"
30,Dos Equis Lager Especial,Dos Equis,$27.99 ,12oz - Case(24) cans,4.20%,Lager,Mexican-Style Lager,Import,Mexico,Nuevo Leon,Monterrey,"Crisp, Clean, Balanced",Light-bodied,"Mexico- Mexican Pale Lager- 4.2% ABV. Dos Equis Lager Especial is a golden pilsner-style beer made from pure spring water and the choicest hops. With a balanced composition and a smooth, clean finish, its the party guest who is always invited and never overstays his welcome.","https://www.totalwine.com/dynamic/x490,24pk/media/sys_master/twmmedia/hda/h4a/14536622145566.png"
31,Pacifico Clara,Pacifico,$9.99 ,12oz - Pack(6) btls,4.40%,Lager,Mexican-Style Lager,Import,Mexico,Sinaloa,Mazaltan,"Crisp, Clean, Balanced",Light-bodied,"Mexico- American-Style Lager- 4.4% ABV. This is a Pilsner-style, clear beer with a refreshing, smooth taste. Most of the Pacifico production takes place at its brewery in Pacifico, in the Mexican state of Sinaloa.","https://www.totalwine.com/dynamic/x490,6pk/media/sys_master/twmmedia/h22/hb9/11943439532062.png"
32,Pacifico Clara,Pacifico,$16.99 ,12oz - Pack(12) cans,4.40%,Lager,Mexican-Style Lager,Import,Mexico,Sinaloa,Mazaltan,"Crisp, Clean, Balanced",Light-bodied,"Mexico- American-Style Lager- 4.4% ABV. This is a Pilsner-style, clear beer with a refreshing, smooth taste. Most of the Pacifico production takes place at its brewery in Pacifico, in the Mexican state of Sinaloa.","https://www.totalwine.com/dynamic/x490,12pk/media/sys_master/twmmedia/h23/h50/11943439499294.png"
33,Modelo Especial,Modelo,$9.49 ,12oz - Pack(6) btls,4.40%,Lager,Mexican-Style Lager,Import,Mexico,Mexico City,Mexico City,"Crisp, Clean, Balanced",Light-bodied,"Mexico- American-Style Lager- 4.4% ABV. A rich, full-flavored Pilsner-style lager delivering a refreshing, well-balanced taste and light hop character with a crisp, clean finish. Brewed with Water, Barley Malt, Non-malted Cereals and Hops.","https://www.totalwine.com/dynamic/x490,6pk/media/sys_master/twmmedia/hed/h07/11943437533214.png"
34,Modelo Especial,Modelo,$25.99 ,12oz - Case(24) cans,4.40%,Lager,Mexican-Style Lager,Import,Mexico,Mexico City,Mexico City,"Crisp, Clean, Balanced",Light-bodied,"Mexico- American-Style Lager- 4.4% ABV. A rich, full-flavored Pilsner-style lager delivering a refreshing, well-balanced taste and light hop character with a crisp, clean finish. Brewed with Water, Barley Malt, Non-malted Cereals and Hops.","https://www.totalwine.com/dynamic/x490,24ca/media/sys_master/twmmedia/h3f/hed/11943437500446.png"
35,Asahi Super Dry,Asahi,$9.99 ,11oz - Pack(6) btls,5.20%,Lager,Japanese Rice Lager,Import,Japan,Hokkaido,Sapporo,"Crisp, Clean, Balanced",Light-bodied,"Japan- Japanese Rice Lager- 5.2% ABV. Asahi is the #1 selling beer in Japan. Asahi's advanced brewing techniques deliver a dry, crisp and quick finish. We call it Karakuchi Taste.","https://www.totalwine.com/dynamic/x490,6pk/media/sys_master/twmmedia/hbe/h37/16826351124510.png"
36,Asahi Super Dry,Asahi,$18.99 ,11.2oz - Pack(12) cans,5.20%,Lager,Japanese Rice Lager,Import,Japan,Hokkaido,Sapporo,"Crisp, Clean, Balanced",Light-bodied,"Japan- Japanese Rice Lager- 5.2% ABV. Asahi is the #1 selling beer in Japan. Asahi's advanced brewing techniques deliver a dry, crisp and quick finish. We call it Karakuchi Taste.","https://www.totalwine.com/dynamic/x490,12pk/media/sys_master/twmmedia/ha6/hae/16823296753694.png"
37,Sapporo Premium Beer,Sapporo,$10.49 ,12oz - Pack(6) btls,4.90%,Lager,Japanese Rice Lager,Import,Japan,Hokkaido,Sapporo,"Crisp, Clean, Balanced",Light-bodied,"Japan/Canada/Wisconsin - Japanese Rice Lager- With a rich gold color and refined bitterness, Sapporo Premium delivers an amazingly crisp, perfectly balanced taste and a smooth finish. This sessionable beer pairs well with any food choice.","https://www.totalwine.com/dynamic/x490,6pk/media/sys_master/twmmedia/h79/h68/14554449084446.png"
38,Sapporo Premium Beer,Sapporo,$18.49 ,12oz - Pack(12) cans,4.90%,Lager,Japanese Rice Lager,Import,Japan,Hokkaido,Sapporo,"Crisp, Clean, Balanced",Light-bodied,"Japan/Canada/Wisconsin - Japanese Rice Lager- With a rich gold color and refined bitterness, Sapporo Premium delivers an amazingly crisp, perfectly balanced taste and a smooth finish. This sessionable beer pairs well with any food choice.","https://www.totalwine.com/dynamic/x490,12pk/media/sys_master/twmmedia/hb0/h57/14554451574814.png"
39,Kirin Ichiban,Kirin,$10.49 ,12oz - Pack(6) btls,4.90%,Lager,Japanese Rice Lager,Import,Japan,Kanagawa,Yokohama,"Crisp, Clean, Balanced",Light-bodied,Japan- Light Lager- 4.9% ABV. A premium 100% malt beer brewed with the first-press method offering smooth and rich flavor It's a hazy gold in color with malt up front & a nice hop finish at the end.,"https://www.totalwine.com/dynamic/x490,6pk/media/sys_master/twmmedia/h2d/hc9/11891400835102.png"
